DATE,InflRate
1210-01-01,2.58
1211-01-01,12.22
1212-01-01,-12.32
1213-01-01,-3.37
1214-01-01,-3.37
1215-01-01,6.34
1216-01-01,6.34
1217-01-01,15.78
1218-01-01,16.62
1219-01-01,-3.13
1220-01-01,-12.67
1221-01-01,11.96
1222-01-01,-15.56
1223-01-01,-15.56
1224-01-01,10.33
1225-01-01,49.66
1226-01-01,-9.56
1227-01-01,0.01
1228-01-01,-1.81
1229-01-01,-1.81
1230-01-01,-1.81
1231-01-01,-1.81
1232-01-01,-1.81
1233-01-01,-5.97
1234-01-01,0.85
1235-01-01,0.85
1236-01-01,-2.85
1237-01-01,10.23
1238-01-01,-2.84
1239-01-01,-2.84
1240-01-01,-2.84
1241-01-01,-2.84
1242-01-01,-2.84
1243-01-01,-2.84
1244-01-01,-2.84
1245-01-01,-2.84
1246-01-01,15.15
1247-01-01,32.36
1248-01-01,-1.27
1249-01-01,-26.06
1250-01-01,9.46
1251-01-01,-6.64
1252-01-01,2.82
1253-01-01,14.95
1254-01-01,-23.60
1255-01-01,2.77
1256-01-01,27.33
1257-01-01,15.91
1258-01-01,-1.67
1259-01-01,-4.52
1260-01-01,-10.82
1261-01-01,6.00
1262-01-01,1.35
1263-01-01,-10.09
1264-01-01,1.78
1265-01-01,3.65
1266-01-01,0.62
1267-01-01,7.35
1268-01-01,-14.57
1269-01-01,19.28
1270-01-01,-2.09
1271-01-01,26.09
1272-01-01,5.06
1273-01-01,-17.02
1274-01-01,13.59
1275-01-01,-2.20
1276-01-01,-10.82
1277-01-01,13.26
1278-01-01,-13.48
1279-01-01,-7.65
1280-01-01,13.20
1281-01-01,-6.62
1282-01-01,15.54
1283-01-01,-3.70
1284-01-01,0.70
1285-01-01,-16.05
1286-01-01,8.10
1287-01-01,-10.01
1288-01-01,-18.14
1289-01-01,8.11
1290-01-01,16.37
1291-01-01,17.12
1292-01-01,-6.50
1293-01-01,0.44
1294-01-01,16.53
1295-01-01,4.38
1296-01-01,-5.10
1297-01-01,-13.84
1298-01-01,8.06
1299-01-01,-0.09
1300-01-01,2.50
1301-01-01,-5.72
1302-01-01,-4.54
1303-01-01,-5.44
1304-01-01,-4.16
1305-01-01,11.64
1306-01-01,1.33
1307-01-01,-4.47
1308-01-01,11.21
1309-01-01,15.75
1310-01-01,5.41
1311-01-01,0.88
1312-01-01,-18.28
1313-01-01,-2.47
1314-01-01,8.57
1315-01-01,6.92
1316-01-01,41.58
1317-01-01,1.66
1318-01-01,-25.62
1319-01-01,-24.91
1320-01-01,12.49
1321-01-01,7.05
1322-01-01,34.85
1323-01-01,-13.91
1324-01-01,-14.58
1325-01-01,7.74
1326-01-01,-15.17
1327-01-01,-13.32
1328-01-01,9.35
1329-01-01,10.65
1330-01-01,0.56
1331-01-01,7.59
1332-01-01,1.93
1333-01-01,-17.43
1334-01-01,-5.72
1335-01-01,-0.81
1336-01-01,4.59
1337-01-01,-6.36
1338-01-01,-9.67
1339-01-01,-8.44
1340-01-01,30.27
1341-01-01,-14.75
1342-01-01,4.69
1343-01-01,-2.30
1344-01-01,11.82
1345-01-01,-11.65
1346-01-01,5.17
1347-01-01,22.57
1348-01-01,-0.21
1349-01-01,-20.43
1350-01-01,19.59
1351-01-01,19.12
1352-01-01,13.85
1353-01-01,-21.03
1354-01-01,-5.26
1355-01-01,4.31
1356-01-01,4.98
1357-01-01,3.40
1358-01-01,1.07
1359-01-01,-5.45
1360-01-01,0.85
1361-01-01,-0.61
1362-01-01,-4.36
1363-01-01,15.75
1364-01-01,6.87
1365-01-01,-8.95
1366-01-01,-8.39
1367-01-01,2.06
1368-01-01,9.37
1369-01-01,-0.14
1370-01-01,39.51
1371-01-01,-26.05
1372-01-01,-8.95
1373-01-01,9.69
1374-01-01,-12.35
1375-01-01,18.26
1376-01-01,-1.57
1377-01-01,-21.82
1378-01-01,-6.15
1379-01-01,-4.51
1380-01-01,20.11
1381-01-01,1.42
1382-01-01,-7.90
1383-01-01,-1.07
1384-01-01,0.81
1385-01-01,-3.95
1386-01-01,5.94
1387-01-01,-6.76
1388-01-01,-7.20
1389-01-01,-6.71
1390-01-01,27.58
1391-01-01,17.24
1392-01-01,-18.89
1393-01-01,-13.41
1394-01-01,3.12
1395-01-01,3.09
1396-01-01,0.72
1397-01-01,17.47
1398-01-01,-2.17
1399-01-01,-4.68
1400-01-01,2.70
1401-01-01,6.95
1402-01-01,12.49
1403-01-01,-11.74
1404-01-01,-11.49
1405-01-01,-1.74
1406-01-01,-6.65
1407-01-01,7.38
1408-01-01,9.48
1409-01-01,8.21
1410-01-01,8.67
1411-01-01,-13.83
1412-01-01,-7.48
1413-01-01,0.54
1414-01-01,-2.95
1415-01-01,1.20
1416-01-01,12.40
1417-01-01,8.94
1418-01-01,-13.07
1419-01-01,5.36
1420-01-01,-11.45
1421-01-01,7.98
1422-01-01,-4.87
1423-01-01,-7.41
1424-01-01,0.87
1425-01-01,7.85
1426-01-01,-3.96
1427-01-01,-4.36
1428-01-01,1.60
1429-01-01,24.93
1430-01-01,-0.68
1431-01-01,-10.77
1432-01-01,-11.33
1433-01-01,21.34
1434-01-01,-9.40
1435-01-01,-4.72
1436-01-01,6.83
1437-01-01,-2.20
1438-01-01,30.87
1439-01-01,5.09
1440-01-01,-16.75
1441-01-01,-24.38
1442-01-01,3.85
1443-01-01,1.64
1444-01-01,-1.26
1445-01-01,-4.81
